image,label
img_0000.png,C
img_0001.png,A
img_0002.png,A
img_0003.png,C
img_0004.png,C
img_0005.png,C
img_0006.png,C
img_0007.png,C
img_0008.png,B
img_0009.png,A
img_0010.png,B
img_0011.png,A
img_0012.png,C
img_0013.png,B
img_0014.png,B
img_0015.png,A
img_0016.png,C
img_0017.png,C
img_0018.png,C
img_0019.png,A
img_0020.png,C
img_0021.png,A
img_0022.png,A
img_0023.png,B
img_0024.png,C
img_0025.png,C
img_0026.png,C
img_0027.png,C
img_0028.png,A
img_0029.png,B
img_0030.png,B
img_0031.png,C
img_0032.png,C
img_0033.png,C
img_0034.png,A
img_0035.png,B
img_0036.png,B
img_0037.png,B
img_0038.png,B
img_0039.png,C
img_0040.png,B
img_0041.png,A
img_0042.png,B
img_0043.png,B
img_0044.png,C
img_0045.png,A
img_0046.png,B
img_0047.png,C
img_0048.png,C
img_0049.png,C
img_0050.png,B
img_0051.png,C
img_0052.png,A
img_0053.png,A
img_0054.png,C
img_0055.png,C
img_0056.png,B
img_0057.png,B
img_0058.png,C
img_0059.png,B
img_0060.png,B
img_0061.png,C
img_0062.png,C
img_0063.png,B
img_0064.png,C
img_0065.png,C
img_0066.png,C
img_0067.png,B
img_0068.png,B
img_0069.png,A
img_0070.png,B
img_0071.png,A
img_0072.png,A
img_0073.png,C
img_0074.png,B
img_0075.png,C
img_0076.png,C
img_0077.png,C
img_0078.png,C
img_0079.png,B
img_0080.png,B
img_0081.png,C
img_0082.png,B
img_0083.png,A
img_0084.png,B
img_0085.png,A
img_0086.png,C
img_0087.png,B
img_0088.png,C
img_0089.png,C
img_0090.png,B
img_0091.png,B
img_0092.png,A
img_0093.png,A
img_0094.png,A
img_0095.png,B
img_0096.png,B
img_0097.png,B
img_0098.png,B
img_0099.png,A
img_0100.png,C
img_0101.png,C
img_0102.png,A
img_0103.png,C
img_0104.png,C
img_0105.png,C
img_0106.png,B
img_0107.png,C
img_0108.png,C
img_0109.png,A
img_0110.png,B
img_0111.png,A
img_0112.png,A
img_0113.png,C
img_0114.png,B
img_0115.png,C
img_0116.png,C
img_0117.png,C
img_0118.png,C
img_0119.png,A
img_0120.png,C
img_0121.png,B
img_0122.png,B
img_0123.png,A
img_0124.png,B
img_0125.png,C
img_0126.png,B
img_0127.png,B
img_0128.png,C
img_0129.png,C
img_0130.png,B
img_0131.png,C
img_0132.png,B
img_0133.png,A
img_0134.png,C
img_0135.png,C
img_0136.png,C
