image,label
img_0000.png,A
img_0001.png,A
img_0002.png,A
img_0003.png,B
img_0004.png,B
img_0005.png,A
img_0006.png,A
img_0007.png,A
img_0008.png,B
img_0009.png,A
img_0010.png,B
img_0011.png,B
img_0012.png,B
img_0013.png,A
img_0014.png,B
img_0015.png,C
img_0016.png,B
img_0017.png,A
img_0018.png,B
img_0019.png,A
img_0020.png,B
img_0021.png,A
img_0022.png,B
img_0023.png,B
img_0024.png,A
img_0025.png,A
img_0026.png,A
img_0027.png,C
img_0028.png,A
img_0029.png,A
img_0030.png,B
img_0031.png,A
img_0032.png,A
img_0033.png,C
img_0034.png,A
img_0035.png,A
img_0036.png,A
img_0037.png,B
img_0038.png,A
img_0039.png,B
img_0040.png,A
img_0041.png,B
img_0042.png,B
img_0043.png,A
img_0044.png,B
img_0045.png,B
img_0046.png,A
img_0047.png,B
img_0048.png,B
img_0049.png,B
img_0050.png,A
img_0051.png,B
img_0052.png,B
img_0053.png,A
img_0054.png,A
img_0055.png,B
img_0056.png,B
img_0057.png,B
img_0058.png,A
img_0059.png,A
img_0060.png,B
img_0061.png,A
img_0062.png,B
img_0063.png,A
img_0064.png,A
img_0065.png,B
img_0066.png,A
img_0067.png,B
img_0068.png,B
img_0069.png,B
img_0070.png,B
img_0071.png,B
img_0072.png,B
img_0073.png,A
img_0074.png,A
img_0075.png,A
img_0076.png,B
img_0077.png,A
img_0078.png,B
img_0079.png,C
img_0080.png,C
img_0081.png,B
img_0082.png,A
img_0083.png,B
img_0084.png,A
img_0085.png,B
img_0086.png,B
img_0087.png,B
img_0088.png,B
img_0089.png,B
img_0090.png,C
img_0091.png,C
img_0092.png,A
img_0093.png,B
img_0094.png,B
img_0095.png,B
img_0096.png,B
img_0097.png,B
img_0098.png,B
img_0099.png,A
img_0100.png,B
img_0101.png,B
img_0102.png,A
img_0103.png,B
img_0104.png,C
img_0105.png,A
img_0106.png,B
img_0107.png,B
img_0108.png,B
img_0109.png,A
img_0110.png,B
img_0111.png,B
img_0112.png,C
img_0113.png,B
img_0114.png,C
img_0115.png,C
img_0116.png,C
img_0117.png,A
img_0118.png,A
img_0119.png,A
img_0120.png,B
img_0121.png,C
img_0122.png,B
img_0123.png,B
img_0124.png,A
img_0125.png,A
img_0126.png,A
img_0127.png,B
img_0128.png,A
img_0129.png,A
img_0130.png,B
img_0131.png,B
img_0132.png,A
img_0133.png,B
img_0134.png,B
img_0135.png,B
img_0136.png,B
img_0137.png,A
img_0138.png,B
img_0139.png,B
img_0140.png,C
img_0141.png,B
img_0142.png,C
img_0143.png,B
img_0144.png,B
img_0145.png,C
img_0146.png,B
img_0147.png,A
img_0148.png,A
img_0149.png,B
img_0150.png,B
img_0151.png,B
img_0152.png,C
img_0153.png,B
img_0154.png,B
img_0155.png,A
img_0156.png,A
img_0157.png,B
img_0158.png,B
img_0159.png,B
img_0160.png,B
img_0161.png,B
img_0162.png,C
img_0163.png,A
img_0164.png,B
img_0165.png,A
img_0166.png,A
img_0167.png,C
img_0168.png,B
img_0169.png,B
img_0170.png,B
img_0171.png,B
img_0172.png,B
img_0173.png,B
