image,label
img_0000.png,A
img_0001.png,A
img_0002.png,C
img_0003.png,B
img_0004.png,A
img_0005.png,A
img_0006.png,B
img_0007.png,A
img_0008.png,A
img_0009.png,A
img_0010.png,A
img_0011.png,A
img_0012.png,B
img_0013.png,A
img_0014.png,A
img_0015.png,A
img_0016.png,B
img_0017.png,A
img_0018.png,A
img_0019.png,A
img_0020.png,B
img_0021.png,C
img_0022.png,A
img_0023.png,A
img_0024.png,A
img_0025.png,C
img_0026.png,A
img_0027.png,B
img_0028.png,B
img_0029.png,A
img_0030.png,B
img_0031.png,C
img_0032.png,A
img_0033.png,A
img_0034.png,B
img_0035.png,C
img_0036.png,B
img_0037.png,C
img_0038.png,C
img_0039.png,A
img_0040.png,C
img_0041.png,B
img_0042.png,A
img_0043.png,A
img_0044.png,A
img_0045.png,A
img_0046.png,A
img_0047.png,A
img_0048.png,B
img_0049.png,B
img_0050.png,B
img_0051.png,A
img_0052.png,A
img_0053.png,A
img_0054.png,B
img_0055.png,B
img_0056.png,A
img_0057.png,B
img_0058.png,B
img_0059.png,B
img_0060.png,B
img_0061.png,B
img_0062.png,A
img_0063.png,A
img_0064.png,A
img_0065.png,C
img_0066.png,B
img_0067.png,A
img_0068.png,B
img_0069.png,C
img_0070.png,C
img_0071.png,B
img_0072.png,B
img_0073.png,C
img_0074.png,B
img_0075.png,C
img_0076.png,B
img_0077.png,B
img_0078.png,C
img_0079.png,C
img_0080.png,C
img_0081.png,C
img_0082.png,C
img_0083.png,B
img_0084.png,C
img_0085.png,C
img_0086.png,B
img_0087.png,B
img_0088.png,A
img_0089.png,C
img_0090.png,C
img_0091.png,B
img_0092.png,A
img_0093.png,C
img_0094.png,C
img_0095.png,C
img_0096.png,C
img_0097.png,A
img_0098.png,A
img_0099.png,A
img_0100.png,B
img_0101.png,B
img_0102.png,B
img_0103.png,A
img_0104.png,C
img_0105.png,B
img_0106.png,C
img_0107.png,C
img_0108.png,C
img_0109.png,C
img_0110.png,C
img_0111.png,B
img_0112.png,B
img_0113.png,B
img_0114.png,B
img_0115.png,C
img_0116.png,B
img_0117.png,B
img_0118.png,A
img_0119.png,A
img_0120.png,C
img_0121.png,C
img_0122.png,B
img_0123.png,B
img_0124.png,B
img_0125.png,B
img_0126.png,B
img_0127.png,C
img_0128.png,B
img_0129.png,C
img_0130.png,C
img_0131.png,C
img_0132.png,B
img_0133.png,C
img_0134.png,C
img_0135.png,C
img_0136.png,C
img_0137.png,B
img_0138.png,C
img_0139.png,C
img_0140.png,C
img_0141.png,C
img_0142.png,C
img_0143.png,B
img_0144.png,C
img_0145.png,C
img_0146.png,B
img_0147.png,B
img_0148.png,C
img_0149.png,C
img_0150.png,C
img_0151.png,C
img_0152.png,C
img_0153.png,C
img_0154.png,B
img_0155.png,B
img_0156.png,C
img_0157.png,B
img_0158.png,B
img_0159.png,C
img_0160.png,C
img_0161.png,C
img_0162.png,B
img_0163.png,C
