image,label
img_0000.png,A
img_0001.png,A
img_0002.png,A
img_0003.png,A
img_0004.png,C
img_0005.png,C
img_0006.png,C
img_0007.png,B
img_0008.png,B
img_0009.png,C
img_0010.png,A
img_0011.png,B
img_0012.png,B
img_0013.png,A
img_0014.png,B
img_0015.png,A
img_0016.png,A
img_0017.png,A
img_0018.png,B
img_0019.png,C
img_0020.png,A
img_0021.png,A
img_0022.png,A
img_0023.png,B
img_0024.png,A
img_0025.png,A
img_0026.png,C
img_0027.png,B
img_0028.png,A
img_0029.png,C
img_0030.png,B
img_0031.png,C
img_0032.png,C
img_0033.png,C
img_0034.png,B
img_0035.png,A
img_0036.png,C
img_0037.png,C
img_0038.png,A
img_0039.png,C
img_0040.png,A
img_0041.png,A
img_0042.png,C
img_0043.png,C
img_0044.png,B
img_0045.png,A
img_0046.png,B
img_0047.png,B
img_0048.png,C
img_0049.png,A
img_0050.png,A
img_0051.png,A
img_0052.png,C
img_0053.png,B
img_0054.png,B
img_0055.png,B
img_0056.png,A
img_0057.png,B
img_0058.png,C
img_0059.png,C
img_0060.png,A
img_0061.png,A
img_0062.png,A
img_0063.png,B
img_0064.png,A
img_0065.png,A
img_0066.png,B
img_0067.png,C
img_0068.png,B
img_0069.png,B
img_0070.png,A
img_0071.png,A
img_0072.png,B
img_0073.png,C
img_0074.png,B
img_0075.png,C
img_0076.png,B
img_0077.png,B
img_0078.png,B
img_0079.png,B
img_0080.png,A
img_0081.png,A
img_0082.png,B
img_0083.png,B
img_0084.png,A
img_0085.png,C
img_0086.png,B
img_0087.png,C
img_0088.png,C
img_0089.png,C
img_0090.png,B
img_0091.png,B
img_0092.png,A
img_0093.png,A
img_0094.png,B
img_0095.png,A
img_0096.png,C
img_0097.png,C
img_0098.png,C
img_0099.png,A
img_0100.png,B
img_0101.png,C
img_0102.png,A
img_0103.png,A
img_0104.png,A
img_0105.png,B
img_0106.png,A
img_0107.png,A
img_0108.png,A
img_0109.png,A
img_0110.png,B
img_0111.png,B
img_0112.png,C
img_0113.png,B
img_0114.png,A
img_0115.png,A
img_0116.png,B
img_0117.png,B
img_0118.png,B
img_0119.png,C
img_0120.png,C
img_0121.png,C
img_0122.png,B
img_0123.png,B
img_0124.png,C
img_0125.png,C
img_0126.png,B
img_0127.png,C
img_0128.png,C
img_0129.png,B
img_0130.png,C
img_0131.png,C
img_0132.png,C
img_0133.png,B
img_0134.png,B
img_0135.png,B
img_0136.png,B
img_0137.png,C
img_0138.png,C
img_0139.png,B
img_0140.png,B
img_0141.png,B
img_0142.png,B
img_0143.png,B
img_0144.png,B
img_0145.png,A
img_0146.png,C
img_0147.png,B
img_0148.png,B
img_0149.png,C
img_0150.png,C
img_0151.png,B
img_0152.png,A
img_0153.png,A
img_0154.png,A
img_0155.png,A
img_0156.png,C
img_0157.png,C
img_0158.png,C
img_0159.png,B
img_0160.png,C
img_0161.png,B
img_0162.png,A
img_0163.png,A
img_0164.png,C
img_0165.png,C
img_0166.png,B
img_0167.png,A
img_0168.png,A
img_0169.png,C
img_0170.png,C
img_0171.png,B
img_0172.png,B
img_0173.png,C
img_0174.png,C
img_0175.png,B
img_0176.png,B
img_0177.png,C
img_0178.png,C
img_0179.png,B
img_0180.png,C
img_0181.png,A
img_0182.png,C
img_0183.png,C
img_0184.png,C
img_0185.png,B
img_0186.png,C
img_0187.png,C
img_0188.png,B
img_0189.png,C
img_0190.png,C
img_0191.png,C
img_0192.png,C
img_0193.png,C
img_0194.png,C
img_0195.png,C
img_0196.png,C
img_0197.png,C
img_0198.png,C
img_0199.png,C
img_0200.png,C
img_0201.png,C
img_0202.png,C
img_0203.png,C
img_0204.png,C
img_0205.png,C
img_0206.png,C
img_0207.png,C
img_0208.png,C
img_0209.png,C
img_0210.png,C
img_0211.png,C
img_0212.png,C
img_0213.png,C
img_0214.png,C
img_0215.png,C
img_0216.png,C
img_0217.png,C
img_0218.png,C
img_0219.png,C
img_0220.png,C
img_0221.png,C
img_0222.png,C
img_0223.png,C
img_0224.png,C
img_0225.png,C
img_0226.png,C
img_0227.png,C
img_0228.png,C
img_0229.png,C
