image,label
img_0000.png,B
img_0001.png,B
img_0002.png,A
img_0003.png,B
img_0004.png,A
img_0005.png,C
img_0006.png,C
img_0007.png,C
img_0008.png,B
img_0009.png,C
img_0010.png,C
img_0011.png,C
img_0012.png,C
img_0013.png,C
img_0014.png,C
img_0015.png,B
img_0016.png,A
img_0017.png,B
img_0018.png,C
img_0019.png,B
img_0020.png,B
img_0021.png,B
img_0022.png,A
img_0023.png,B
img_0024.png,B
img_0025.png,C
img_0026.png,B
img_0027.png,C
img_0028.png,C
img_0029.png,C
img_0030.png,B
img_0031.png,B
img_0032.png,C
img_0033.png,B
img_0034.png,B
img_0035.png,B
img_0036.png,C
img_0037.png,A
img_0038.png,C
img_0039.png,C
img_0040.png,B
img_0041.png,A
img_0042.png,B
img_0043.png,C
img_0044.png,B
img_0045.png,C
img_0046.png,C
img_0047.png,A
img_0048.png,C
img_0049.png,C
img_0050.png,C
img_0051.png,C
img_0052.png,C
img_0053.png,C
img_0054.png,C
img_0055.png,C
img_0056.png,C
img_0057.png,C
img_0058.png,C
img_0059.png,C
img_0060.png,C
img_0061.png,C
img_0062.png,C
img_0063.png,C
img_0064.png,C
img_0065.png,B
img_0066.png,B
img_0067.png,A
img_0068.png,C
img_0069.png,B
img_0070.png,B
img_0071.png,C
img_0072.png,C
img_0073.png,A
img_0074.png,C
img_0075.png,B
img_0076.png,B
img_0077.png,A
img_0078.png,A
img_0079.png,B
img_0080.png,B
img_0081.png,A
img_0082.png,A
img_0083.png,A
img_0084.png,B
img_0085.png,B
img_0086.png,A
img_0087.png,B
img_0088.png,B
img_0089.png,A
img_0090.png,C
img_0091.png,A
img_0092.png,B
img_0093.png,B
img_0094.png,B
img_0095.png,C
img_0096.png,A
img_0097.png,B
img_0098.png,B
img_0099.png,C
img_0100.png,C
img_0101.png,B
img_0102.png,B
img_0103.png,B
img_0104.png,B
img_0105.png,B
img_0106.png,B
img_0107.png,B
img_0108.png,B
img_0109.png,A
img_0110.png,A
img_0111.png,B
img_0112.png,B
img_0113.png,B
img_0114.png,B
img_0115.png,A
img_0116.png,B
img_0117.png,B
img_0118.png,B
img_0119.png,A
img_0120.png,B
img_0121.png,A
img_0122.png,B
img_0123.png,A
img_0124.png,A
img_0125.png,B
img_0126.png,A
img_0127.png,B
img_0128.png,A
img_0129.png,A
img_0130.png,B
img_0131.png,A
img_0132.png,A
img_0133.png,B
img_0134.png,C
img_0135.png,A
img_0136.png,A
img_0137.png,B
img_0138.png,B
img_0139.png,B
img_0140.png,A
img_0141.png,B
img_0142.png,B
img_0143.png,C
img_0144.png,B
img_0145.png,B
img_0146.png,B
img_0147.png,B
img_0148.png,A
img_0149.png,A
img_0150.png,B
img_0151.png,C
img_0152.png,B
img_0153.png,B
img_0154.png,A
img_0155.png,B
img_0156.png,B
img_0157.png,A
img_0158.png,B
img_0159.png,A
img_0160.png,A
img_0161.png,B
img_0162.png,B
img_0163.png,B
img_0164.png,B
img_0165.png,A
img_0166.png,A
img_0167.png,B
img_0168.png,B
img_0169.png,B
img_0170.png,B
